Column1,Column2,Column3,Column4,Column5,Column6,Column7
ÚLTIMA ATUALIZAÇÃO,15/11/2019 05:34                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,,,,,
NOME,ESTADO,PARTIDO,SETOR,ENDEREÇO,TELEFONE,FAX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ACIR GURGACZ,RO,,Escritório de Apoio do Senador Acir Gurgacz,"AVENIDA JI-PARANÁ, 417. URUPÁ, JI-PARANÁ, RO. CEP:76900-239",(69) 3421-0912,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ALESSANDRO VIEIRA,SE,,Escritório de Apoio nº 01 do Senador Alessandro Vieira,"AVENIDA AUGUSTO FRANCO, 2980. LOJA 05 SHOPPING CASA DESIGN. TEL. (79)3303-4349. PONTO NOVO, ARACAJU, SE. CEP:49047-420",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ALVARO DIAS,PR,,Escritorio de Apoio do Senador Alvaro Dias,"RUA COMENDADOR ARAÚJO, 510. CJ. 503. CURITIBA, PR. CEP:80420-000",(41) 3311-4059,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ANGELO CORONEL,BA,,Escritório de Apoio nº 01 do Senador Angelo Coronel,"ALAMEDA DAS FRAMBOESAS, 349. CAMINHO DAS ÁRVORES, SALVADOR, BA. CEP:41820-450",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ANTONIO ANASTASIA,MG,,Escritório de Apoio 1 do Senador Antônio Anastasia,"RUA SANTA CATARINA, 1631. 9º ANDAR. BAIRRO DE LOURDES, BELO HORIZONTE, MG. CEP:30170-081",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AROLDE DE OLIVEIRA ,RJ,,Escritório de Apoio nº 01 do Senador Arolde de Oliveira,"RUA DA QUITANDA, 3. GRUPOS 810 E 901. CENTRO, RIO DE JANEIRO, RJ. CEP:20011-030",(21) 2532-3693,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
CARLOS VIANA,MG,,Escritório de Apoio nº 01 do Senador Carlos Viana,"RUA GUAJAJARAS, 40. SALA 604, EDIFÍCIO MIRAFIORI. CENTRO, BELO HORIZONTE, MG. CEP:30180-100",(31) 3327-0044,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CHICO RODRIGUES,RR,,Escritório de Apoio nº 01 do Senador Chico Rodrigues,"AVENIDA SURUMU, 776. TEL. (95) 3623-7475. SÃO VICENTE, BOA VISTA, RR. CEP:69303-455",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CID GOMES,CE,,Escritório de Apoio nº 01 do Senador Cid Gomes,"AVENIDA DOM JOSÉ TUPINAMBÁ DA FROTA, 445. SALA 2. SOBRAL, CE. CEP:62010-290",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CID GOMES,CE,,Escritório de Apoio nº 02 do Senador Cid Gomes,"AVENIDA DESEMBARGADOR MOREIRA, 1300. ED. BS DESIGN CORPORATE TOWERS, SALAS 317 E 319. ALDEOTA, FORTALEZA, CE. CEP:60170-002",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CIRO NOGUEIRA,PI,,Escritório de Apoio do Senador Ciro Nogueira,"RUA ANTONIO CHAVES, 1975. NOIVOS, TERESINA, PI. CEP:64045-340",(86) 3221-6654,(86) 3221-2777                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CONFUCIO MOURA,RO,,Escritório de Apoio nº 01 do Senador Confúcio Moura,"AVENIDA FARQUAR, 3460. PEDRINHAS, PORTO VELHO, RO. CEP:76801-432",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DANIELLA RIBEIRO,PB,,Escritório de Apoio nº 01 da Senadora Daniella Ribeiro,"RUA BENJAMIN CONSTANT, 170. SALA 803. ESTAÇÃO VELHA, CAMPINA GRANDE, PB. CEP:58410-003",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
DARIO BERGER,SC,,Escritório de Apoio 1 do Senador Dário Berger,"AVENIDA ENGENHEIRO MAX DE SOUZA, 1135. ED. CORAL CORPORATE - SALA 409. COQUEIROS, FLORIANÓPOLIS, SC. CEP:88080-000",(48) 3249.7915,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
DAVI ALCOLUMBRE,AP,,Escritório de Apoio nº 1 do Senador Davi Alcolumbre,"RUA PROFESSOR TOSTES, 2822. BURITIZAL, MACAPA, AP. CEP:68892-902",(96) 3225-2277,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
EDUARDO BRAGA,AM,,Escritório do Senador Eduardo Braga,"ALAMEDA PORTUGAL, 109. QUADRA 7. PONTA NEGRA, MANAUS, AM. CEP:69037-023",(92) 3643-9511,(92) 36439531                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
EDUARDO GIRÃO,CE,,Escritório de Apoio nº 01 do Senador Eduardo Girão,"AVENIDA DESEMBARGADOR MOREIRA, 2120. SALA 1.306, DIONÍSIO TORRES. ALDEOTA, FORTALEZA, CE. CEP:60170-002",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
EDUARDO GOMES,TO,,Escritório de Apoio nº 01 do Senador Eduardo Gomes,"QUADRA 110 SUL ALAMEDA, 1. LOTES 08/10. PLANO DIRETOR SUL, PALMAS, TO. CEP:77020-142",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ELIZIANE GAMA,MA,,Escritório de Apoio nº 01 da Senadora Eliziane Gama,"AVENIDA DOS HOLANDESES. EDIFÍCIO MARCUS BARBOSA, SALAS 101 E 102. CALHAU, SÃO LUIS, MA. CEP:65071-380",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ELMANO FÉRRER,PI,,Escritório de Apoio 1 do Senador Elmano Férrer,"AVENIDA DOM SEVERINO, 1323. EDIFÍCIO SANTA FÉ, TÉRREO B. FÁTIMA, TERESINA, PI. CEP:64051200",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ESPERIDIÃO AMIN,SC,,Escritório de Apoio nº 01 do Senador Esperidião Amin,"RUA ÁLVARO DE CARVALHO, 267. 10º ANDAR ED. MAPIL. CENTRO, FLORIANÓPOLIS, SC. CEP:88010-040",(48) 3222-4100,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
FABIANO CONTARATO,ES,,Escritório de Apoio nº 01 do Senador Fabiano Contarato,"RUA ITACIBÁ, 135. SALA 1112/C. PRAIA DE ITAPARICA, VILA VELHA, ES. CEP:29102-280",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
FERNANDO BEZERRA COELHO,PE,,Escritório de Apoio 1 do Senador Fernando Bezerra Coelho,"AVENIDA REPÚBLICA DO LÍBANO, 251. S. 911 - COMPLEXO EMPRESARIAL TRADE CENTER - SHOPPING RIOMAR. PINA, RECIFE, PE. CEP:51110-900",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
FERNANDO BEZERRA COELHO,PE,,Escritório de Apoio 2 do Senador Fernando Bezerra Coelho,"RUA IRMÃ JERÔNIMA, 227. COLISEU, PETROLINA, PE. CEP:56304-130",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
FERNANDO COLLOR,AL,,Escritorio de Apoio do Senador Fernando Collor,"AVENIDA DR. ANTÔNIO GOMES DE BARROS, 625. EDIFÍCIO THE SQUARE SALAS 716/719. JATIÚCA, MACEIO, AL. CEP:57036-001",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
FLÁVIO ARNS,PR,,Escritório de Apoio do Senador Flávio Arns,"RUA NESTOR VICTOR, 255. ESQUINA COM RUA PROF. LUIZ CÉSAR, 121. TEL. (41) 3532-9811. ÁGUA VERDE, CURITIBA, PR. CEP:80620-400",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
FLÁVIO BOLSONARO,RJ,,Escritório de Apoio nº 01 do Senador Flávio Bolsonaro,"AVENIDA ALMIRANTE JÚLIO DE SÁ BIERRENBACH, 65. ED. AQUARIUS - BL. 1, SALA 221.. BARRA DA TIJUCA, RIO DE JANEIRO, RJ. CEP:22775-028",(21) 3030-0017,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
HUMBERTO COSTA,PE,,Escritório de Apoio do Senador Humberto Costa,"AVENIDA ENGENHEIRO DOMINGOS FERREIRA, 2391. BOA VIAGEM, RECIFE, PE. CEP:51020-031",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
HUMBERTO COSTA,PE,,Escritório de Apoio 2 do Senador Humberto Costa,"RUA ISAURA CAVALCANTE DE OLIVEIRA, 4. CENTRO, VICENCIA, PE. CEP:55850-000",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
IRAJÁ,TO,,Escritório de Apoio nº 1 do Senador Irajá,"QUADRA 104 NORTE, AVENIDA LO 4, LOTE 39, SALA 4. TEL. (63) 3215.7707. PLANO DIRETOR NORTE, PALMAS, TO. CEP:77006-032",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
IZALCI LUCAS,DF,,Escritório de Apoio do Senador Izalci Lucas,"SETOR SDS BLOCO D EDIFÍCIO ELDORADO. SALA 301. BRASÍLIA, DF. CEP:70392-901",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
JADER BARBALHO,PA,,Escritório de Apoio 1 do Senador Jader Barbalho,"RUA GASPAR VIANA, 773. REDUTO, BELÉM, PA. CEP:66053-090",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
JAQUES WAGNER,BA,,Escritório de Apoio nº 01 do Senador Jaques Wagner,"AVENIDA L. VIANA FILHO, 6462. TORRE WEST, SALA 601. SALVADOR, BA. CEP:41730-101",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
JARBAS VASCONCELOS,PE,,Escritório de Apoio nº1 do Senador Jarbas Vasconcelos,"RUA RUA DO JASMIM N° 269. ILHA DO LEITE. RECIFE, PE. CEP:50070-580",(81) 3421-6106,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
JAYME CAMPOS,MT,,Escritório de Apoionº 01 do Senador Jayme Campos,"AVENIDA CASTELO BRANCO, 325. SALA 81. CENTRO SUL, VARZEA GRANDE, MT. CEP:78110-901",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
JEAN PAUL PRATES,RN,,Escritório de Apoio nº 01 do Senador Jean Paul Prates,"RUA RAIMUNDO CHAVES, 2170. CANDELÁRIA, NATAL, RN. CEP:59064-390",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
JORGE KAJURU,GO,,Escritório de Apoio nº 01 do Senador Jorge Kajuru,"AVENIDA R-, 9. QUADRA R 10 LT. 11 SOBRADO Nº 03. SETOR OESTE, GOIANIA, GO. CEP:74125-110",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
JORGINHO MELLO,SC,,Escritório de Apoio nº 01 do Senador Jorginho Mello,"RUA SILVA JARDIM, 201. PAVIMENTO SUPERIOR. CENTRO, FLORIANÓPOLIS, SC. CEP:88020-200",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
JOSÉ MARANHÃO,PB,,Escritório de Apoio 1 do Senador José Maranhão,"PARQUE SÓLON DE LUCENA, 671. CENTRO, JOÃO PESSOA, PB. CEP:58013-130",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
JOSÉ SERRA,SP,,Escritório de Apoio 1 do Senador José Serra,"SÃO PAULO, SP.",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
JUÍZA SELMA,MT,,Escritório de Apoio nº 01 da Senadora Juíza Selma,"AVENIDA HISTORIADOR RUBENS DE MENDONÇA, 1856. ED. CUIABÁ OFFICE TOWER, SALAS 1404/1405/1406 E 1407. BOSQUE DA SAÚDE, CUIABA, MT. CEP:78050-000",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
KATIA ABREU,TO,,Escritório de Apoio da Senadora Kátia Abreu,"RUA ARSE 21, ALAMEDA EMAS, QI 10, LOTE 33. SALAS 01, 02 E 03. PLANO DIRETOR SUL, PALMAS, TO. CEP:77020-474",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
KATIA ABREU,TO,,Escritório de Apoio nº2 da Senadora Kátia Abreu,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
