Column1,Column2,Column3,Column4,Column5,Column6,Column64,Column63,Column62,Column7,Column8,Column9,Column10,Column11,Column12,,,,,a,b,,
Column1,Column2,Column3,Column4,Column5,Column6,,,,Column7,Column8,Column9,Column10,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('Column1','Column2','Column3','Column4','Column5','Column7','Column8','');",,GAB. SEN. ANTÔNIO ANASTASIA,,,,SENADO FEDERAL ANEXO 2,ALA TANCREDO NEVES GABINETE 56,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 2','ALA TANCREDO NEVES GABINETE 56')",
NOME_PARLAMENTAR,PARTIDO,UF,TITULARIDADE,MANDATO,TELEFONES,,,,DTNASC,EMAIL,CHEFE_GAB,ENDERECO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('NOME_PARLAMENTAR','PARTIDO','UF','TITULARIDADE','MANDATO','DTNASC','EMAIL','');",,,,,,SENADO FEDERAL ANEXO 2,ALA AFONSO ARINOS GABINETE 08,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 2','ALA AFONSO ARINOS GABINETE 08');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select 'CHEFE_GAB', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 2' and Localizacao.Complemento ='ALA AFONSO ARINOS GABINETE 08' and senador.nome = 'NOME_PARLAMENTAR';"
ACIR GURGACZ,PDT,RO,Titular,2015 / 2023,(61)3303-3131,(61)3303-3132,,,25/02/1962,sen.acirgurgacz@senado.leg.br,-,SENADO FEDERAL ANEXO 2   ALA TANCREDO NEVES GABINETE 56                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('ACIR GURGACZ','PDT','RO','Titular','2015 / 2023','25/02/1962','sen.acirgurgacz@senado.leg.br','PBB5186');",PBB5186,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-3131' from senador where nome = 'ACIR GURGACZ';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-3132' from senador where nome = 'ACIR GURGACZ';",,,SENADO FEDERAL ANEXO 2,ALA NILO COELHO 1º PAVIMENTO GABINETE 10,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 2','ALA NILO COELHO 1º PAVIMENTO GABINETE 10');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select '-', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 2' and Localizacao.Complemento ='ALA NILO COELHO 1º PAVIMENTO GABINETE 10' and senador.nome = 'ACIR GURGACZ';"
ALESSANDRO VIEIRA,CIDADANIA,SE,Titular,2019 / 2027,(61)3303-9011,(61)3303-9014,,,03/04/1975,sen.alessandrovieira@senado.leg.br,Luis Fernando Pires Machado,SENADO FEDERAL ANEXO 2   ALA AFONSO ARINOS GABINETE 08                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('ALESSANDRO VIEIRA','CIDADANIA','SE','Titular','2019 / 2027','03/04/1975','sen.alessandrovieira@senado.leg.br','NULL');",NULL,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-9011' from senador where nome = 'ALESSANDRO VIEIRA';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-9014' from senador where nome = 'ALESSANDRO VIEIRA';",,,SENADO FEDERAL ANEXO 2,ALA AFONSO ARINOS GABINETE 03,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 2','ALA AFONSO ARINOS GABINETE 03');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select 'Luis Fernando Pires Machado', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 2' and Localizacao.Complemento ='ALA AFONSO ARINOS GABINETE 03' and senador.nome = 'ALESSANDRO VIEIRA';"
ALVARO DIAS,PODEMOS,PR,Titular,2015 / 2023,(61)3303-4059,(61)3303-4060,(61)3303-2941,,07/12/1944,sen.alvarodias@senado.leg.br,Paulo Kepler Duarte Sampaio Júnior,SENADO FEDERAL ANEXO 2   ALA NILO COELHO 1º PAVIMENTO GABINETE 10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('ALVARO DIAS','PODEMOS','PR','Titular','2015 / 2023','07/12/1944','sen.alvarodias@senado.leg.br','PBA6476');",PBA6476,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-4059' from senador where nome = 'ALVARO DIAS';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-4060' from senador where nome = 'ALVARO DIAS';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-2941' from senador where nome = 'ALVARO DIAS';",,SENADO FEDERAL ANEXO 2,ALA TANCREDO NEVES GABINETE 51,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 2','ALA TANCREDO NEVES GABINETE 51');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select 'Paulo Kepler Duarte Sampaio Júnior', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 2' and Localizacao.Complemento ='ALA TANCREDO NEVES GABINETE 51' and senador.nome = 'ALVARO DIAS';"
ANGELO CORONEL,PSD,BA,Titular,2019 / 2027,(61)3303-6103,(61)3303-6105,,,03/05/1958,sen.angelocoronel@senado.leg.br,Natanael Alves Ferreira,SENADO FEDERAL ANEXO 2   ALA AFONSO ARINOS GABINETE 03                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('ANGELO CORONEL','PSD','BA','Titular','2019 / 2027','03/05/1958','sen.angelocoronel@senado.leg.br','PBB9991');",PBB9991,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-6103' from senador where nome = 'ANGELO CORONEL';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-6105' from senador where nome = 'ANGELO CORONEL';",,,SENADO FEDERAL ANEXO 2,ALA TEOTÔNIO VILELA GABINETE 19,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 2','ALA TEOTÔNIO VILELA GABINETE 19');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select 'Natanael Alves Ferreira', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 2' and Localizacao.Complemento ='ALA TEOTÔNIO VILELA GABINETE 19' and senador.nome = 'ANGELO CORONEL';"
ANTONIO ANASTASIA,PSDB,MG,Titular,2015 / 2023,(61)3303-5717,,,,09/05/1961,sen.antonioanastasia@senado.leg.br,Daniel Da Cunha Messias Roque,SENADO FEDERAL ANEXO 2   ALA TANCREDO NEVES GABINETE 51                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('ANTONIO ANASTASIA','PSDB','MG','Titular','2015 / 2023','09/05/1961','sen.antonioanastasia@senado.leg.br','PBB7630');",PBB7630,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-5717' from senador where nome = 'ANTONIO ANASTASIA';",,,,SENADO FEDERAL ANEXO 2,ALA TEOTÔNIO VILELA GABINETE 23,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 2','ALA TEOTÔNIO VILELA GABINETE 23');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select 'Daniel Da Cunha Messias Roque', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 2' and Localizacao.Complemento ='ALA TEOTÔNIO VILELA GABINETE 23' and senador.nome = 'ANTONIO ANASTASIA';"
AROLDE DE OLIVEIRA,PSD,RJ,Titular,2019 / 2027,(61)3303-6640,(61)3303-6646,,,11/03/1937,sen.aroldedeoliveira@senado.leg.br,Sérgio Teles Torres,SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('AROLDE DE OLIVEIRA','PSD','RJ','Titular','2019 / 2027','11/03/1937','sen.aroldedeoliveira@senado.leg.br','PBB8782');",PBB8782,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-6640' from senador where nome = 'AROLDE DE OLIVEIRA';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-6646' from senador where nome = 'AROLDE DE OLIVEIRA';",,,SENADO FEDERAL ANEXO 2,ALA TEOTÔNIO VILELA GABINETE 10,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 2','ALA TEOTÔNIO VILELA GABINETE 10');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select 'Sérgio Teles Torres', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 2' and Localizacao.Complemento ='ALA TEOTÔNIO VILELA GABINETE 10' and senador.nome = 'AROLDE DE OLIVEIRA';"
CARLOS VIANA,PSD,MG,Titular,2019 / 2027,(61)3303-3100,,,,22/03/1963,sen.carlosviana@senado.leg.br,Ronaldo Pereira Martins,SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('CARLOS VIANA','PSD','MG','Titular','2019 / 2027','22/03/1963','sen.carlosviana@senado.leg.br','NULL');",NULL,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-3100' from senador where nome = 'CARLOS VIANA';",,,,SENADO FEDERAL ANEXO 1,10º PAVIMENTO,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 1','10º PAVIMENTO');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select 'Ronaldo Pereira Martins', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 1' and Localizacao.Complemento ='10º PAVIMENTO' and senador.nome = 'CARLOS VIANA';"
CHICO RODRIGUES,DEM,RR,Titular,2019 / 2027,(61)3303-2281,(61)3303-2287,,,23/04/1951,sen.chicorodrigues@senado.leg.br,-,SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('CHICO RODRIGUES','DEM','RR','Titular','2019 / 2027','23/04/1951','sen.chicorodrigues@senado.leg.br','PBC0008');",PBC0008,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-2281' from senador where nome = 'CHICO RODRIGUES';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-2287' from senador where nome = 'CHICO RODRIGUES';",,,SENADO FEDERAL ANEXO 1,3º PAVIMENTO,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 1','3º PAVIMENTO');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select '-', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 1' and Localizacao.Complemento ='3º PAVIMENTO' and senador.nome = 'CHICO RODRIGUES';"
